	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
780	234,	12,359	-102,95	
781	234,3	11,419	-105,52	
782	234,6	10,59	-107,72	
783	234,9	9,8591	-109,62	
784	235,2	9,211	-111,28	
785	235,5	8,6342	-112,73	
786	235,8	8,1185	-114,02	
787	236,1	7,6553	-115,15	
788	236,4	7,2375	-116,17	
789	236,7	6,859	-117,08	
790	237,	6,5148	-117,9	
791	237,3	6,2005	-118,64	
792	237,6	5,9125	-119,31	
793	237,9	5,6478	-119,92	
794	238,2	5,4036	-120,48	
795	238,5	5,1778	-121,	
796	238,8	4,9683	-121,47	
797	239,1	4,7734	-121,91	
798	239,4	4,5917	-122,31	
799	239,7	4,4218	-122,68	
800	240,	4,2627	-123,03	
801	240,3	4,1134	-123,35	
802	240,6	3,973	-123,65	
803	240,9	3,8406	-123,92	
804	241,2	3,7157	-124,18	
805	241,5	3,5976	-124,43	
806	241,8	3,4857	-124,66	
807	242,1	3,3796	-124,87	
808	242,4	3,2788	-125,07	
809	242,7	3,1829	-125,26	
810	243,	3,0915	-125,43	
811	243,3	3,0044	-125,6	
812	243,6	2,9213	-125,76	
813	243,9	2,8418	-125,9	
814	244,2	2,7657	-126,04	
815	244,5	2,6929	-126,17	
816	244,8	2,623	-126,29	
817	245,1	2,5559	-126,41	
818	245,4	2,4915	-126,52	
819	245,7	2,4295	-126,62	
820	246,	2,3699	-126,72	
821	246,3	2,3124	-126,81	
822	246,6	2,2571	-126,89	
823	246,9	2,2037	-126,97	
824	247,2	2,1521	-127,05	
825	247,5	2,1023	-127,12	
826	247,8	2,0541	-127,18	
827	248,1	2,0075	-127,24	
828	248,4	1,9624	-127,3	
829	248,7	1,9187	-127,36	
830	249,	1,8763	-127,41	
831	249,3	1,8353	-127,45	
832	249,6	1,7954	-127,49	
833	249,9	1,7567	-127,53	
834	250,2	1,7191	-127,57	
835	250,5	1,6826	-127,6	
836	250,8	1,6471	-127,63	
837	251,1	1,6126	-127,66	
838	251,4	1,5789	-127,68	
839	251,7	1,5462	-127,71	
840	252,	1,5143	-127,72	
841	252,3	1,4832	-127,74	
842	252,6	1,4529	-127,75	
843	252,9	1,4233	-127,76	
844	253,2	1,3945	-127,77	
845	253,5	1,3663	-127,77	
846	253,8	1,3388	-127,78	
847	254,1	1,312	-127,78	
848	254,4	1,2857	-127,78	
849	254,7	1,2601	-127,77	
850	255,	1,235	-127,76	
851	255,3	1,2104	-127,75	
852	255,6	1,1864	-127,74	
853	255,9	1,1629	-127,73	
854	256,2	1,1399	-127,71	
855	256,5	1,1173	-127,69	
856	256,8	1,0953	-127,67	
857	257,1	1,0736	-127,65	
858	257,4	1,0524	-127,62	
859	257,7	1,0316	-127,59	
860	258,	1,0112	-127,56	
861	258,3	0,99116	-127,53	
862	258,6	0,97152	-127,49	
863	258,9	0,95223	-127,45	
